"year","last_name, first_name","player_id","pitch_hand","api_pitch_type","n_pitches","release_speed","spin_rate","movement_inches","alan_active_spin_pct","active_spin","hawkeye_measured","movement_inferred","api_pitch_name","active_spin_formatted","hawkeye_measured_clock_minutes","movement_inferred_clock_minutes","diff_measured_inferred","diff2","diff_measured_inferred_minutes","hawkeye_measured_clock_hh","hawkeye_measured_clock_mm","movement_inferred_clock_hh","movement_inferred_clock_mm","diff_clock_hh","diff_clock_mm","hawkeye_measured_clock_label","movement_inferred_clock_label","diff_clock_label"
,"Gray, Jon",592351,"R","CH",270,"88.8",1445,"16.3",0.9333965929817942,0.9935588827907815,241.4966379663664,249.80881482993817,"Changeup",99,600,585,-8.312176863571779,8.312176863571782,15,10,0,9,45,0,15,"10:00","9:45","+0H 15M"
,"Long, Sam",669674,"L","CH",17,"83.9",1945,"19.7",0.9258091623353547,0.9972533951357122,131.09167897670855,138.06007128359062,"Changeup",100,105,90,-6.968392306882066,6.968392306882055,15,1,45,1,30,0,15,"1:45","1:30","+0H 15M"
,"Moll, Sam",594580,"L","CH",14,"86.4",1687,"15.3",0.8063396549785499,0.8737422189479754,92.1615248779205,63.2176166193058,"Changeup",87,180,240,28.943908258614698,28.943908258614695,-60,3,0,4,0,1,0,"3:00","4:00","-1H 00M"
,"Sears, JP",676664,"L","CH",430,"84.1",1717,"17.6",0.8953081660350273,0.9880338272965736,102.82240914399279,95.33987908392282,"Changeup",99,150,165,7.482530060069962,7.482530060069977,-15,2,30,2,45,0,15,"2:30","2:45","-0H 15M"
,"Adon, Joan",672851,"R","CH",140,"88.1",2022,"17.1",0.8300211659308183,0.8252821094643836,230.55599387408773,258.92610553052924,"Changeup",83,615,555,-28.37011165644151,28.370111656441477,60,10,15,9,15,1,0,"10:15","9:15","+1H 00M"
,"Crowe, Wil",640444,"R","CH",40,"86",1600,"11.2",0.5974289088309077,0.5496561591318659,217.59825727711552,247.1128294489389,"Changeup",55,645,585,-29.514572171823374,29.514572171823396,60,10,45,9,45,1,0,"10:45","9:45","+1H 00M"
,"Cuas, Jose",621016,"R","CH",48,"87.7",1811,"17.1",0.8894753532717,0.9844326489381047,268.7610241218322,277.30317365011103,"Changeup",98,540,525,-8.542149528278856,8.542149528278888,15,9,0,8,45,0,15,"9:00","8:45","+0H 15M"
,"Fried, Max",608331,"L","CH",183,"86.2",1457,"13.7",0.7791765203208162,0.8413099552164726,135.37639079572145,105.3533475633511,"Changeup",84,90,150,30.023043232370355,30.023043232370345,-60,1,30,2,30,1,0,"1:30","2:30","-1H 00M"
,"Hill, Rich",448179,"L","CH",54,"83",1648,"13.8",0.7285813229764698,0.8545405690935203,131.94442872172027,110.91219086508364,"Changeup",85,90,135,21.032237856636627,21.032237856636623,-45,1,30,2,15,0,45,"1:30","2:15","-0H 45M"
,"Hurt, Kyle",669165,"R","CH",12,"87",1192,"13",0.8289171518590182,0.9763161337197249,251.66199850586852,268.43248655999776,"Changeup",98,570,540,-16.77048805412923,16.77048805412925,30,9,30,9,0,0,30,"9:30","9:00","+0H 30M"
,"Kelly, Joe",523260,"R","CH",76,"89.2",2082,"19.7",0.9418245455950973,0.9942085477408373,251.33167675521406,255.02441178362304,"Changeup",99,570,570,-3.6927350284089755,3.6927350284089946,0,9,30,9,30,0,0,"9:30","9:30"," 0H 00M"
,"King, John",667463,"L","CH",195,"84.1",1535,"16.9",0.9184863442332161,0.9428314873027043,107.04699208337307,86.36772560571009,"Changeup",94,150,180,20.679266477662978,20.679266477662992,-30,2,30,3,0,0,30,"2:30","3:00","-0H 30M"
,"Kuhl, Chad",641771,"R","CH",32,"87",1578,"15.9",0.8612753454237191,0.9701336268423564,231.91279794130168,246.66183737010542,"Changeup",97,615,585,-14.74903942880374,14.749039428803746,30,10,15,9,45,0,30,"10:15","9:45","+0H 30M"
,"Law, Derek",571882,"R","CH",44,"88.8",1911,"16.4",0.8360459246838166,0.98940853286746,238.6226980438718,246.29817268432333,"Changeup",99,600,585,-7.67547464045154,7.675474640451553,15,10,0,9,45,0,15,"10:00","9:45","+0H 15M"
,"Lee, Dylan",669276,"L","CH",47,"85.6",1591,"16.3",0.8764295729743067,0.9839521437104727,140.17000480328372,130.59569977976466,"Changeup",98,75,105,9.57430502351906,9.574305023519075,-30,1,15,1,45,0,30,"1:15","1:45","-0H 30M"
,"Lugo, Seth",607625,"R","CH",126,"86.2",1548,"11.7",0.6327491572909301,0.7386215348110233,211.95548381751382,245.06177540815122,"Changeup",74,660,585,-33.1062915906374,33.10629159063742,75,11,0,9,45,1,15,"11:00","9:45","+1H 15M"
,"Neal, Zach",594943,"R","CH",84,"82.4",1513,"15.3",0.819098757760344,0.8733423004183226,236.25836198444102,262.1757173407233,"Changeup",87,600,555,-25.917355356282258,25.917355356282236,45,10,0,9,15,0,45,"10:00","9:15","+0H 45M"
,"Then, Juan",672730,"R","CH",37,"88.8",2004,"19.7",0.9406138499631662,0.9555429346427586,251.98068052189845,266.664111265882,"Changeup",96,570,540,-14.683430743983564,14.68343074398357,30,9,30,9,0,0,30,"9:30","9:00","+0H 30M"
,"Vest, Will",676684,"R","CH",96,"87.3",1611,"16.4",0.8831588751696177,0.9713270997554471,248.12548549328704,260.8838016775158,"Changeup",97,585,555,-12.758316184228761,12.758316184228747,30,9,45,9,15,0,30,"9:45","9:15","+0H 30M"
,"Woo, Bryan",693433,"R","CH",50,"89.6",1706,"15.4",0.8024574914674221,0.8615750831097015,231.61590135825057,261.50798895633915,"Changeup",86,615,555,-29.89208759808858,29.892087598088604,60,10,15,9,15,1,0,"10:15","9:15","+1H 00M"
,"Wood, Alex",622072,"L","CH",429,"85.1",1692,"15.9",0.8179722431128351,0.9676136594965382,86.94603065998248,82.22727826130114,"Changeup",97,180,195,4.718752398681346,4.718752398681334,-15,3,0,3,15,0,15,"3:00","3:15","-0H 15M"
,"Adam, Jason",592094,"R","CH",307,"89.6",2259,"17.1",0.782530917352207,0.7634877065799385,230.42066012922015,262.56334103447466,"Changeup",76,615,555,-32.14268090525451,32.14268090525456,60,10,15,9,15,1,0,"10:15","9:15","+1H 00M"
,"Bubic, Kris",663460,"L","CH",48,"81.8",1864,"15.4",0.7399410727732089,0.8678477954040211,119.64744608593533,100.58177995344323,"Changeup",87,120,165,19.065666132492098,19.065666132492098,-45,2,0,2,45,0,45,"2:00","2:45","-0H 45M"
,"Cessa, Luis",570666,"R","CH",97,"86.3",1658,"14.4",0.7491440837073593,0.8139913585612079,229.2942516662957,260.5500606932783,"Changeup",81,615,555,-31.255809026982575,31.255809026982586,60,10,15,9,15,1,0,"10:15","9:15","+1H 00M"
,"Cox, Austin",680735,"L","CH",87,"82.9",1659,"13.9",0.7372836306152747,0.9462773172586146,135.67692211144492,133.80036904644157,"Changeup",95,90,90,1.8765530650033497,1.876553065003357,0,1,30,1,30,0,0,"1:30","1:30"," 0H 00M"
,"Davis, Noah",663562,"R","CH",53,"84.7",1891,"17.1",0.9032741413200409,0.970008225323526,246.24036368992228,260.4629592902328,"Changeup",97,585,555,-14.222595600310513,14.2225956003105,30,9,45,9,15,0,30,"9:45","9:15","+0H 30M"
,"Dodd, Dylan",689266,"L","CH",101,"82.9",1772,"15.2",0.7723347537942519,0.8495392299357027,121.08459287084683,126.5274164544482,"Changeup",85,120,105,-5.442823583601367,5.442823583601362,15,2,0,1,45,0,15,"2:00","1:45","+0H 15M"
,"Eflin, Zach",621107,"R","CH",124,"86.5",1623,"17.2",0.9051689127623728,0.9280393662384329,235.57221702459447,258.61328224762804,"Changeup",93,615,570,-23.04106522303357,23.041065223033623,45,10,15,9,30,0,45,"10:15","9:30","+0H 45M"
,"Estes, Joey",683155,"R","CH",30,"86.2",1623,"17.6",0.9282897799499986,0.9920307424559134,236.5155672660162,236.3444986848146,"Changeup",99,600,600,0.1710685812016095,0.17106858120162824,0,10,0,10,0,0,0,"10:00","10:00"," 0H 00M"
